"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"15150","DHARMA EQ","LLY US Equity","",4300,"",2016-06-06
"15151","DHARMA EQ","MRK US Equity","",13750,"",2016-06-06
"15152","DHARMA EQ","MSFT US Equity","",12450,"",2016-06-06
"15153","DHARMA EQ","PCAR US Equity","",10600,"",2016-06-06
"15154","DHARMA EQ","PFE US Equity","",15000,"",2016-06-06
"15155","DHARMA EQ","QCOM US Equity","",7650,"",2016-06-06
"15156","DHARMA EQ","UTX US Equity","",6000,"",2016-06-06
"15157","DHARMA EQ","KORS US Equity","",10000,"",2016-06-06
"15158","DHARMA EQ","SLB US Equity","",7600,"",2016-06-07
"15159","DHARMA EQ","POT CN Equity","",15450,"",2016-06-07
"15160","DHARMA EQ","NOVN SW Equity","",5700,"",2016-06-07
"15161","DHARMA EQ","ROG SW Equity","",2600,"",2016-06-07
"15162","DHARMA EQ","ADEN SW Equity","",11950,"",2016-06-07
"15163","DHARMA EQ","ABBN SW Equity","",12600,"",2016-06-07
"15164","DHARMA EQ","NESN SW Equity","",8800,"",2016-06-07
"15165","DHARMA EQ","SYNN SW Equity","",2100,"",2016-06-07
"15166","DHARMA EQ","BMW GY Equity","",11100,"",2016-06-07
"15167","DHARMA EQ","SIE GY Equity","",5300,"",2016-06-07
"15168","DHARMA EQ","VOW3 GY Equity","",2000,"",2016-06-07
"15169","DHARMA EQ","SX6PEX GY Equity","",14800,"",2016-06-07
"15170","DHARMA EQ","BAS GY Equity","",6500,"",2016-06-07
"15171","DHARMA EQ","BAYN GY Equity","",8500,"",2016-06-07
"15172","DHARMA EQ","ESM16 Index","",25,"",2016-06-07
"15173","DHARMA EQ","CS FP Equity","",30400,"",2016-06-07
"15174","DHARMA EQ","MC FP Equity","",5200,"",2016-06-07
"15175","DHARMA EQ","ML FP Equity","",11200,"",2016-06-07
"15176","DHARMA EQ","SU FP Equity","",3000,"",2016-06-07
"15177","DHARMA EQ","TEC FP Equity","",5000,"",2016-06-07
"15178","DHARMA EQ","SCR FP Equity","",16500,"",2016-06-07
"15179","DHARMA EQ","ADN LN Equity","",150000,"",2016-06-07
"15180","DHARMA EQ","BLT LN Equity","",36054,"",2016-06-07
"15181","DHARMA EQ","BA/ LN Equity","",50000,"",2016-06-07
"15182","DHARMA EQ","BT/A LN Equity","",134000,"",2016-06-07
"15183","DHARMA EQ","NXT LN Equity","",4200,"",2016-06-07
"15184","DHARMA EQ","SBRY LN Equity","",155000,"",2016-06-07
"15185","DHARMA EQ","RDSA NA Equity","",7600,"",2016-06-07
"15186","DHARMA EQ","ESV US Equity","",9600,"",2016-06-07
"15187","DHARMA EQ","EUN2 GY Equity","",33000,"",2016-06-07
"15188","DHARMA EQ","IUKD LN Equity","",40000,"",2016-06-07
"15189","DHARMA EQ","STX US Equity","",21100,"",2016-06-07
"15190","DHARMA EQ","SPY5 LN Equity","",8000,"",2016-06-07
"15191","DHARMA EQ","ETN US Equity","",10000,"",2016-06-07
"15192","DHARMA EQ","XDWF GY Equity","",39274.028,"",2016-06-07
"15193","DHARMA EQ","XSMI SW Equity","",11000,"",2016-06-07
"15194","DHARMA EQ","XSDR GY Equity","",5200,"",2016-06-07
"15195","DHARMA EQ","XSX6 GY Equity","",12000,"",2016-06-07
"15196","DHARMA EQ","AIR FP Equity","",16000,"",2016-06-07
"15197","DHARMA EQ","LYB US Equity","",7100,"",2016-06-07
"15198","DHARMA EQ","ATCOA SS Equity","",11100,"",2016-06-07
