"","PortfolioName","SecurityId","Quantity","Price","Date","Cost"
"377","DEQ","VOW3 GY Equity",2000,0,2015-06-29,NA
"378","DEQ","SX6PEX GY Equity",14800,0,2015-06-29,NA
"379","DEQ","BAS GY Equity",10900,0,2015-06-29,NA
"380","DEQ","BAYN GY Equity",2800,0,2015-06-29,NA
"381","DEQ","CS FP Equity",20400,0,2015-06-29,NA
"382","DEQ","MC FP Equity",2425,0,2015-06-29,NA
"383","DEQ","ML FP Equity",9300,0,2015-06-29,NA
"384","DEQ","CO FP Equity",3400,0,2015-06-29,NA
"385","DEQ","SCR FP Equity",22000,0,2015-06-29,NA
"386","DEQ","ADN LN Equity",150000,0,2015-06-29,NA
"387","DEQ","BLT LN Equity",46054,0,2015-06-29,NA
"388","DEQ","SKY LN Equity",14550,0,2015-06-29,NA
"389","DEQ","BA/ LN Equity",64000,0,2015-06-29,NA
"390","DEQ","MRW LN Equity",1e+05,0,2015-06-29,NA
"391","DEQ","BP/ LN Equity",87832,0,2015-06-29,NA
"392","DEQ","BT/A LN Equity",69500,0,2015-06-29,NA
"393","DEQ","KGF LN Equity",55000,0,2015-06-29,NA
"394","DEQ","SBRY LN Equity",105000,0,2015-06-29,NA
"395","DEQ","SMIN LN Equity",10000,0,2015-06-29,NA
"396","DEQ","RB/ LN Equity",4530,0,2015-06-29,NA
"397","DEQ","ESV US Equity",8000,0,2015-06-29,NA
"398","DEQ","STX US Equity",21100,0,2015-06-29,NA
"399","DEQ","XSMI SW Equity",11000,0,2015-06-29,NA
"400","DEQ","XSDR GY Equity",5200,0,2015-06-29,NA
"401","DEQ","PHIA NA Equity",12000,0,2015-06-29,NA
"402","DEQ","AIR FP Equity",7000,0,2015-06-29,NA
"403","DEQ","LYB US Equity",4300,0,2015-06-29,NA
"404","DEQ","AD NA Equity",34520,0,2015-06-29,NA
"405","DEQ","ATCOA SS Equity",20100,0,2015-06-29,NA
"406","DEQ","ABBV US Equity",3300,0,2015-06-29,NA
"407","DEQ","AAPL US Equity",2402,0,2015-06-29,NA
"408","DEQ","AMAT US Equity",20500,0,2015-06-29,NA
"409","DEQ","BAX US Equity",11650,0,2015-06-29,NA
"410","DEQ","BA US Equity",7100,0,2015-06-29,NA
"411","DEQ","CA US Equity",33700,0,2015-06-29,NA
"412","DEQ","CAT US Equity",11700,0,2015-06-29,NA
"413","DEQ","CVX US Equity",6039,0,2015-06-29,NA
"414","DEQ","CSCO US Equity",16000,0,2015-06-29,NA
"415","DEQ","TPR US Equity",10800,0,2015-06-29,NA
"416","DEQ","COP US Equity",4882,0,2015-06-29,NA
"417","DEQ","GLW US Equity",49750,0,2015-06-29,NA
"418","DEQ","DE US Equity",8500,0,2015-06-29,NA
"419","DEQ","DOW US Equity",7700,0,2015-06-29,NA
"420","DEQ","EMR US Equity",3000,0,2015-06-29,NA
"421","DEQ","INTC US Equity",31100,0,2015-06-29,NA
"422","DEQ","JNJ US Equity",10050,0,2015-06-29,NA
"423","DEQ","KLAC US Equity",7900,0,2015-06-29,NA
"424","DEQ","LMT US Equity",3800,0,2015-06-29,NA
"425","DEQ","MRK US Equity",13750,0,2015-06-29,NA
"426","DEQ","MSFT US Equity",22050,0,2015-06-29,NA
"427","DEQ","NOC US Equity",1300,0,2015-06-29,NA
"428","DEQ","OXY US Equity",3399,0,2015-06-29,NA
"429","DEQ","PFE US Equity",10000,0,2015-06-29,NA
"430","DEQ","QCOM US Equity",15150,0,2015-06-29,NA
"431","DEQ","RTN US Equity",3400,0,2015-06-29,NA
"432","DEQ","STO US Equity",43299,0,2015-06-29,NA
