"","PortfolioName","SecurityId","Quantity","Price","Date"
"259","DHARMA EQ","BA US Equity",7100,0,2015-06-25
"260","DHARMA EQ","CA US Equity",33700,0,2015-06-25
"261","DHARMA EQ","CAT US Equity",11700,0,2015-06-25
"262","DHARMA EQ","CVX US Equity",6039,0,2015-06-25
"263","DHARMA EQ","CSCO US Equity",16000,0,2015-06-25
"264","DHARMA EQ","TPR US Equity",10800,0,2015-06-25
"265","DHARMA EQ","COP US Equity",4882,0,2015-06-25
"266","DHARMA EQ","GLW US Equity",49750,0,2015-06-25
"267","DHARMA EQ","DE US Equity",8500,0,2015-06-25
"268","DHARMA EQ","DOW US Equity",7700,0,2015-06-25
"269","DHARMA EQ","EMR US Equity",3000,0,2015-06-25
"270","DHARMA EQ","INTC US Equity",31100,0,2015-06-25
"271","DHARMA EQ","JNJ US Equity",10050,0,2015-06-25
"272","DHARMA EQ","KLAC US Equity",7900,0,2015-06-25
"273","DHARMA EQ","LMT US Equity",3800,0,2015-06-25
"274","DHARMA EQ","MRK US Equity",13750,0,2015-06-25
"275","DHARMA EQ","MSFT US Equity",22050,0,2015-06-25
"276","DHARMA EQ","NOC US Equity",1300,0,2015-06-25
"277","DHARMA EQ","OXY US Equity",3399,0,2015-06-25
"278","DHARMA EQ","PFE US Equity",10000,0,2015-06-25
"279","DHARMA EQ","QCOM US Equity",15150,0,2015-06-25
"280","DHARMA EQ","RTN US Equity",3400,0,2015-06-25
"281","DHARMA EQ","STO US Equity",43299,0,2015-06-25
"282","DHARMA EQ",".TFCFEES FP Equity",-1,14382.48,2015-06-25
"283","DHARMA EQ","CAD Curncy",0,0,2015-06-25
"284","DHARMA EQ","CHF Curncy",0,0,2015-06-25
"285","DHARMA EQ","EUR Curncy",143761.45,0,2015-06-25
"286","DHARMA EQ","GBP Curncy",-2727.79,0,2015-06-25
"287","DHARMA EQ","SEK Curncy",0,0,2015-06-25
"288","DHARMA EQ","USD Curncy",1674181.88,0,2015-06-25
"289","DHARMA EQ",".TAX_CHF LX Equity",-1,0,2015-06-25
"290","DHARMA EQ",".TAX_EUR LX Equity",-1,0,2015-06-25
"291","DHARMA EQ",".TAX_USD LX Equity",-1,0,2015-06-25
"292","DHARMA EQ","SOLB BB Equity",1850,0,2015-06-26
"293","DHARMA EQ","POT CN Equity",15450,0,2015-06-26
"294","DHARMA EQ","SYNN SW Equity",1400,0,2015-06-26
"295","DHARMA EQ","ABBN SW Equity",21300,0,2015-06-26
"296","DHARMA EQ","NESN SW Equity",8800,0,2015-06-26
"297","DHARMA EQ","BMW GY Equity",7400,0,2015-06-26
"298","DHARMA EQ","SIE GY Equity",6100,0,2015-06-26
"299","DHARMA EQ","VOW3 GY Equity",2000,0,2015-06-26
"300","DHARMA EQ","SX6PEX GY Equity",14800,0,2015-06-26
"301","DHARMA EQ","BAS GY Equity",10900,0,2015-06-26
"302","DHARMA EQ","BAYN GY Equity",2800,0,2015-06-26
"303","DHARMA EQ","CS FP Equity",20400,0,2015-06-26
"304","DHARMA EQ","MC FP Equity",2425,0,2015-06-26
"305","DHARMA EQ","ML FP Equity",9300,0,2015-06-26
"306","DHARMA EQ","CO FP Equity",3400,0,2015-06-26
"307","DHARMA EQ","SCR FP Equity",22000,0,2015-06-26
"308","DHARMA EQ","ADN LN Equity",150000,0,2015-06-26
"309","DHARMA EQ","BLT LN Equity",46054,0,2015-06-26
"310","DHARMA EQ","SKY LN Equity",14550,0,2015-06-26
"311","DHARMA EQ","BA/ LN Equity",64000,0,2015-06-26
"312","DHARMA EQ","MRW LN Equity",1e+05,0,2015-06-26
"313","DHARMA EQ","BP/ LN Equity",87832,0,2015-06-26
"314","DHARMA EQ","BT/A LN Equity",69500,0,2015-06-26
"315","DHARMA EQ","KGF LN Equity",55000,0,2015-06-26
"316","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-26
"317","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-26
"318","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-26
"319","DHARMA EQ","ESV US Equity",8000,0,2015-06-26
"320","DHARMA EQ","STX US Equity",21100,0,2015-06-26
"321","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-26
"322","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-26
"323","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-26
"324","DHARMA EQ","AIR FP Equity",7000,0,2015-06-26
"325","DHARMA EQ","LYB US Equity",4300,0,2015-06-26
"326","DHARMA EQ","AD NA Equity",34520,0,2015-06-26
"327","DHARMA EQ","ATCOA SS Equity",14000,0,2015-06-26
"328","DHARMA EQ","ABBV US Equity",3300,0,2015-06-26
"329","DHARMA EQ","AAPL US Equity",2402,0,2015-06-26
"330","DHARMA EQ","AMAT US Equity",20500,0,2015-06-26
"331","DHARMA EQ","BAX US Equity",11650,0,2015-06-26
"332","DHARMA EQ","BA US Equity",7100,0,2015-06-26
"333","DHARMA EQ","CA US Equity",33700,0,2015-06-26
"334","DHARMA EQ","CAT US Equity",11700,0,2015-06-26
"335","DHARMA EQ","CVX US Equity",6039,0,2015-06-26
"336","DHARMA EQ","CSCO US Equity",16000,0,2015-06-26
"337","DHARMA EQ","TPR US Equity",10800,0,2015-06-26
"338","DHARMA EQ","COP US Equity",4882,0,2015-06-26
"339","DHARMA EQ","GLW US Equity",49750,0,2015-06-26
"340","DHARMA EQ","DE US Equity",8500,0,2015-06-26
"341","DHARMA EQ","DOW US Equity",7700,0,2015-06-26
"342","DHARMA EQ","EMR US Equity",3000,0,2015-06-26
"343","DHARMA EQ","INTC US Equity",31100,0,2015-06-26
"344","DHARMA EQ","JNJ US Equity",10050,0,2015-06-26
"345","DHARMA EQ","KLAC US Equity",7900,0,2015-06-26
"346","DHARMA EQ","LMT US Equity",3800,0,2015-06-26
"347","DHARMA EQ","MRK US Equity",13750,0,2015-06-26
"348","DHARMA EQ","MSFT US Equity",22050,0,2015-06-26
"349","DHARMA EQ","NOC US Equity",1300,0,2015-06-26
"350","DHARMA EQ","OXY US Equity",3399,0,2015-06-26
"351","DHARMA EQ","PFE US Equity",10000,0,2015-06-26
"352","DHARMA EQ","QCOM US Equity",15150,0,2015-06-26
"353","DHARMA EQ","RTN US Equity",3400,0,2015-06-26
"354","DHARMA EQ","STO US Equity",43299,0,2015-06-26
"355","DHARMA EQ",".TFCFEES FP Equity",-1,16194.35,2015-06-26
"356","DHARMA EQ","CAD Curncy",0,0,2015-06-26
"357","DHARMA EQ","CHF Curncy",0,0,2015-06-26
"358","DHARMA EQ","EUR Curncy",136730.09,0,2015-06-26
"359","DHARMA EQ","GBP Curncy",2271.98,0,2015-06-26
"360","DHARMA EQ","SEK Curncy",0,0,2015-06-26
"361","DHARMA EQ","USD Curncy",1680015.68,0,2015-06-26
"362","DHARMA EQ",".TAX_CHF LX Equity",-1,0,2015-06-26
"363","DHARMA EQ",".TAX_EUR LX Equity",-1,0,2015-06-26
"364","DHARMA EQ",".TAX_USD LX Equity",-1,0,2015-06-26
"365","DHARMA EQ","SOLB BB Equity",1850,0,2015-06-29
"366","DHARMA EQ","POT CN Equity",15450,0,2015-06-29
"367","DHARMA EQ","SYNN SW Equity",1400,0,2015-06-29
"368","DHARMA EQ","ABBN SW Equity",21300,0,2015-06-29
"369","DHARMA EQ","NESN SW Equity",8800,0,2015-06-29
"370","DHARMA EQ","BMW GY Equity",7400,0,2015-06-29
"371","DHARMA EQ","SIE GY Equity",6100,0,2015-06-29
"372","DHARMA EQ","VOW3 GY Equity",2000,0,2015-06-29
"373","DHARMA EQ","SX6PEX GY Equity",14800,0,2015-06-29
"374","DHARMA EQ","BAS GY Equity",10900,0,2015-06-29
"375","DHARMA EQ","BAYN GY Equity",2800,0,2015-06-29
"376","DHARMA EQ","CS FP Equity",20400,0,2015-06-29
"377","DHARMA EQ","MC FP Equity",2425,0,2015-06-29
"378","DHARMA EQ","ML FP Equity",9300,0,2015-06-29
"379","DHARMA EQ","CO FP Equity",3400,0,2015-06-29
"380","DHARMA EQ","SCR FP Equity",22000,0,2015-06-29
"381","DHARMA EQ","ADN LN Equity",150000,0,2015-06-29
"382","DHARMA EQ","BLT LN Equity",46054,0,2015-06-29
"383","DHARMA EQ","SKY LN Equity",14550,0,2015-06-29
"384","DHARMA EQ","BA/ LN Equity",64000,0,2015-06-29
"385","DHARMA EQ","MRW LN Equity",1e+05,0,2015-06-29
"386","DHARMA EQ","BP/ LN Equity",87832,0,2015-06-29
"387","DHARMA EQ","BT/A LN Equity",69500,0,2015-06-29
"388","DHARMA EQ","KGF LN Equity",55000,0,2015-06-29
"389","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-29
"390","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-29
"391","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-29
"392","DHARMA EQ","ESV US Equity",8000,0,2015-06-29
"393","DHARMA EQ","STX US Equity",21100,0,2015-06-29
"394","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-29
"395","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-29
"396","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-29
"397","DHARMA EQ","AIR FP Equity",7000,0,2015-06-29
"398","DHARMA EQ","LYB US Equity",4300,0,2015-06-29
"399","DHARMA EQ","AD NA Equity",34520,0,2015-06-29
"400","DHARMA EQ","ATCOA SS Equity",20100,0,2015-06-29
"401","DHARMA EQ","ABBV US Equity",3300,0,2015-06-29
"402","DHARMA EQ","AAPL US Equity",2402,0,2015-06-29
"403","DHARMA EQ","AMAT US Equity",20500,0,2015-06-29
"404","DHARMA EQ","BAX US Equity",11650,0,2015-06-29
"405","DHARMA EQ","BA US Equity",7100,0,2015-06-29
"406","DHARMA EQ","CA US Equity",33700,0,2015-06-29
"407","DHARMA EQ","CAT US Equity",11700,0,2015-06-29
"408","DHARMA EQ","CVX US Equity",6039,0,2015-06-29
"409","DHARMA EQ","CSCO US Equity",16000,0,2015-06-29
"410","DHARMA EQ","TPR US Equity",10800,0,2015-06-29
"411","DHARMA EQ","COP US Equity",4882,0,2015-06-29
"412","DHARMA EQ","GLW US Equity",49750,0,2015-06-29
