"","Portfolio Name","Security Ticker","Price","Date","Shares"
"183","DHARMA STRATEGY",".TFCFEES Equity",453204.98,2016-03-10,-1
"184","DHARMA STRATEGY",".TFCFEES Equity",455028.46,2016-03-11,-1
"185","DHARMA STRATEGY",".TFCFEES Equity",460261.08,2016-03-14,-1
"186","DHARMA STRATEGY",".TFCFEES Equity",461938.3,2016-03-15,-1
"187","DHARMA STRATEGY",".TFCFEES Equity",463703.69,2016-03-16,-1
"188","DHARMA STRATEGY",".TFCFEES Equity",465458.29,2016-03-17,-1
"189","DHARMA STRATEGY",".TFCFEES Equity",468131.13,2016-03-18,-1
"190","DHARMA STRATEGY",".TFCFEES Equity",473445.38,2016-03-21,-1
"191","DHARMA STRATEGY",".TFCFEES Equity",475232.25,2016-03-22,-1
"192","DHARMA STRATEGY",".TFCFEES Equity",477000.75,2016-03-23,-1
"193","DHARMA STRATEGY",".TFCFEES Equity",478714.81,2016-03-24,-1
"194","DHARMA STRATEGY",".TFCFEES Equity",487467.88,2016-03-29,-1
"195","DHARMA STRATEGY",".TFCFEES Equity",489253.43,2016-03-30,-1
"196","DHARMA STRATEGY",".TFCFEES Equity",490864.94,2016-03-31,-1
"197","DHARMA STRATEGY",".TFCFEES Equity",492700.18,2016-04-01,-1
"198","DHARMA STRATEGY",".TFCFEES Equity",497951.73,2016-04-04,-1
"199","DHARMA STRATEGY",".TFCFEES Equity",499658.49,2016-04-05,-1
"200","DHARMA STRATEGY",".TFCFEES Equity",501401.11,2016-04-06,-1
"201","DHARMA STRATEGY",".TFCFEES Equity",503122.18,2016-04-07,-1
"202","DHARMA STRATEGY",".TFCFEES Equity",504861.1,2016-04-08,-1
"203","DHARMA STRATEGY",".TFCFEES Equity",510108.01,2016-04-11,-1
"204","DHARMA STRATEGY",".TFCFEES Equity",511879.43,2016-04-12,-1
"205","DHARMA STRATEGY",".TFCFEES Equity",513707.51,2016-04-13,-1
"206","DHARMA STRATEGY",".TFCFEES Equity",515516.52,2016-04-14,-1
"207","DHARMA STRATEGY",".TFCFEES Equity",517309.24,2016-04-15,-1
"208","DHARMA STRATEGY",".TFCFEES Equity",522636.14,2016-04-18,-1
"209","DHARMA STRATEGY",".TFCFEES Equity",524474.67,2016-04-19,-1
"210","DHARMA STRATEGY",".TFCFEES Equity",527155.27,2016-04-20,-1
"211","DHARMA STRATEGY",".TFCFEES Equity",530991.31,2016-04-21,-1
"212","DHARMA STRATEGY",".TFCFEES Equity",532829.23,2016-04-22,-1
"213","DHARMA STRATEGY",".TFCFEES Equity",538196.2,2016-04-25,-1
"214","DHARMA STRATEGY",".TFCFEES Equity",540018.92,2016-04-26,-1
"215","DHARMA STRATEGY",".TFCFEES Equity",541849.37,2016-04-27,-1
"216","DHARMA STRATEGY",".TFCFEES Equity",543655.53,2016-04-28,-1
"217","DHARMA STRATEGY",".TFCFEES Equity",545380.87,2016-04-29,-1
"218","DHARMA STRATEGY",".TFCFEES Equity",550746.99,2016-05-02,-1
"219","DHARMA STRATEGY",".TFCFEES Equity",552457.33,2016-05-03,-1
"220","DHARMA STRATEGY",".TFCFEES Equity",554158.16,2016-05-04,-1
"221","DHARMA STRATEGY",".TFCFEES Equity",557631.57,2016-05-06,-1
"222","DHARMA STRATEGY",".TFCFEES Equity",562852.21,2016-05-09,-1
"223","DHARMA STRATEGY",".TFCFEES Equity",564636.76,2016-05-10,-1
"224","DHARMA STRATEGY",".TFCFEES Equity",566368.85,2016-05-11,-1
"225","DHARMA STRATEGY",".TFCFEES Equity",568103.85,2016-05-12,-1
"226","DHARMA STRATEGY",".TFCFEES Equity",569877.41,2016-05-13,-1
"227","DHARMA STRATEGY",".TFCFEES Equity",576870.09,2016-05-17,-1
"228","DHARMA STRATEGY",".TFCFEES Equity",578417.48,2016-05-18,-1
"229","DHARMA STRATEGY",".TFCFEES Equity",582572.94,2016-05-19,-1
"230","DHARMA STRATEGY",".TFCFEES Equity",584380.33,2016-05-20,-1
"231","DHARMA STRATEGY",".TFCFEES Equity",589638.8,2016-05-23,-1
"232","DHARMA STRATEGY",".TFCFEES Equity",591518.49,2016-05-24,-1
"233","DHARMA STRATEGY",".TFCFEES Equity",594149.53,2016-05-25,-1
"234","DHARMA STRATEGY",".TFCFEES Equity",595989.96,2016-05-26,-1
"235","DHARMA STRATEGY",".TFCFEES Equity",597866.1,2016-05-27,-1
"236","DHARMA STRATEGY",".TFCFEES Equity",603261.61,2016-05-30,-1
"237","DHARMA STRATEGY",".TFCFEES Equity",605027.25,2016-05-31,-1
"238","DHARMA STRATEGY",".TFCFEES Equity",608270.8,2016-06-01,-1
"239","DHARMA STRATEGY",".TFCFEES Equity",610278.92,2016-06-02,-1
"240","DHARMA STRATEGY",".TFCFEES Equity",612102.74,2016-06-03,-1
"241","DHARMA STRATEGY",".TFCFEES Equity",617732.59,2016-06-06,-1
"242","DHARMA STRATEGY",".TFCFEES Equity",619648.09,2016-06-07,-1
"243","DHARMA STRATEGY",".TFCFEES Equity",621525.87,2016-06-08,-1
"244","DHARMA STRATEGY",".TFCFEES Equity",623121.09,2016-06-09,-1
"245","DHARMA STRATEGY",".TFCFEES Equity",624825.79,2016-06-10,-1
"246","DHARMA STRATEGY",".TFCFEES Equity",630177.06,2016-06-13,-1
"247","DHARMA STRATEGY",".TFCFEES Equity",631956.49,2016-06-14,-1
"248","DHARMA STRATEGY",".TFCFEES Equity",633668.42,2016-06-15,-1
"249","DHARMA STRATEGY",".TFCFEES Equity",635404.37,2016-06-16,-1
"250","DHARMA STRATEGY",".TFCFEES Equity",637133.37,2016-06-17,-1
"251","DHARMA STRATEGY",".TFCFEES Equity",642573.28,2016-06-20,-1
"252","DHARMA STRATEGY",".TFCFEES Equity",645356.93,2016-06-21,-1
"253","DHARMA STRATEGY",".TFCFEES Equity",647145.96,2016-06-22,-1
"254","DHARMA STRATEGY",".TFCFEES Equity",652276.72,2016-06-24,-1
"255","DHARMA STRATEGY",".TFCFEES Equity",657423.6,2016-06-27,-1
"256","DHARMA STRATEGY",".TFCFEES Equity",661836.57,2016-06-28,-1
"257","DHARMA STRATEGY",".TFCFEES Equity",663632.44,2016-06-29,-1
"258","DHARMA STRATEGY",".TFCFEES Equity",665430.03,2016-06-30,-1
"259","DHARMA STRATEGY",".TFCFEES Equity",670312.51,2016-07-01,-1
"260","DHARMA STRATEGY",".TFCFEES Equity",675589.11,2016-07-04,-1
"261","DHARMA STRATEGY",".TFCFEES Equity",677297.41,2016-07-05,-1
"262","DHARMA STRATEGY",".TFCFEES Equity",679010.02,2016-07-06,-1
"263","DHARMA STRATEGY",".TFCFEES Equity",680743.06,2016-07-07,-1
"264","DHARMA STRATEGY",".TFCFEES Equity",682535.46,2016-07-08,-1
"265","DHARMA STRATEGY",".TFCFEES Equity",687850.29,2016-07-11,-1
"266","DHARMA STRATEGY",".TFCFEES Equity",689705.31,2016-07-12,-1
"267","DHARMA STRATEGY",".TFCFEES Equity",691541.63,2016-07-13,-1
"268","DHARMA STRATEGY",".TFCFEES Equity",695170.48,2016-07-15,-1
"269","DHARMA STRATEGY",".TFCFEES Equity",700592.28,2016-07-18,-1
"270","DHARMA STRATEGY",".TFCFEES Equity",702446.15,2016-07-19,-1
"271","DHARMA STRATEGY",".TFCFEES Equity",704328.15,2016-07-20,-1
"272","DHARMA STRATEGY",".TFCFEES Equity",706191.01,2016-07-21,-1
"273","DHARMA STRATEGY",".TFCFEES Equity",708038.07,2016-07-22,-1
"274","DHARMA STRATEGY",".TFCFEES Equity",713489.65,2016-07-25,-1
"275","DHARMA STRATEGY",".TFCFEES Equity",715363.48,2016-07-26,-1
"276","DHARMA STRATEGY",".TFCFEES Equity",717249.4,2016-07-27,-1
"277","DHARMA STRATEGY",".TFCFEES Equity",719087.35,2016-07-28,-1
"278","DHARMA STRATEGY",".TFCFEES Equity",722031.12,2016-07-29,-1
"279","DHARMA STRATEGY",".TFCFEES Equity",730443.43,2016-08-01,-1
"280","DHARMA STRATEGY",".TFCFEES Equity",732224.12,2016-08-02,-1
"281","DHARMA STRATEGY",".TFCFEES Equity",734040.83,2016-08-03,-1
"282","DHARMA STRATEGY",".TFCFEES Equity",735867.14,2016-08-04,-1
"283","DHARMA STRATEGY",".TFCFEES Equity",737739.76,2016-08-05,-1
"284","DHARMA STRATEGY",".TFCFEES Equity",743348.3,2016-08-08,-1
"285","DHARMA STRATEGY",".TFCFEES Equity",745211.88,2016-08-09,-1
"286","DHARMA STRATEGY",".TFCFEES Equity",747274.83,2016-08-10,-1
"287","DHARMA STRATEGY",".TFCFEES Equity",749143.93,2016-08-11,-1
"288","DHARMA STRATEGY",".TFCFEES Equity",750990.43,2016-08-12,-1
"289","DHARMA STRATEGY",".TFCFEES Equity",758336.55,2016-08-16,-1
"290","DHARMA STRATEGY",".TFCFEES Equity",760210.57,2016-08-17,-1
"291","DHARMA STRATEGY",".TFCFEES Equity",763314.37,2016-08-18,-1
"292","DHARMA STRATEGY",".TFCFEES Equity",765178.92,2016-08-19,-1
"293","DHARMA STRATEGY",".TFCFEES Equity",770760.26,2016-08-22,-1
"294","DHARMA STRATEGY",".TFCFEES Equity",772655.11,2016-08-23,-1
"295","DHARMA STRATEGY",".TFCFEES Equity",774545.17,2016-08-24,-1
"296","DHARMA STRATEGY",".TFCFEES Equity",776400.19,2016-08-25,-1
"297","DHARMA STRATEGY",".TFCFEES Equity",778284.67,2016-08-26,-1
"298","DHARMA STRATEGY",".TFCFEES Equity",783898.15,2016-08-29,-1
"299","DHARMA STRATEGY",".TFCFEES Equity",785790.1,2016-08-30,-1
"300","DHARMA STRATEGY",".TFCFEES Equity",787554.18,2016-08-31,-1
"301","DHARMA STRATEGY",".TFCFEES Equity",792552.38,2016-09-01,-1
"302","DHARMA STRATEGY",".TFCFEES Equity",794478.07,2016-09-02,-1
"303","DHARMA STRATEGY",".TFCFEES Equity",800146.89,2016-09-05,-1
"304","DHARMA STRATEGY",".TFCFEES Equity",802024.4,2016-09-06,-1
"305","DHARMA STRATEGY",".TFCFEES Equity",803931.99,2016-09-07,-1
"306","DHARMA STRATEGY",".TFCFEES Equity",805808.09,2016-09-08,-1
"307","DHARMA STRATEGY",".TFCFEES Equity",807623.66,2016-09-09,-1
"308","DHARMA STRATEGY",".TFCFEES Equity",813311.79,2016-09-12,-1
"309","DHARMA STRATEGY",".TFCFEES Equity",815087.67,2016-09-13,-1
"310","DHARMA STRATEGY",".TFCFEES Equity",816903.67,2016-09-14,-1
"311","DHARMA STRATEGY",".TFCFEES Equity",818776.84,2016-09-15,-1
"312","DHARMA STRATEGY",".TFCFEES Equity",820608.71,2016-09-16,-1
"313","DHARMA STRATEGY",".TFCFEES Equity",826192.31,2016-09-19,-1
"314","DHARMA STRATEGY",".TFCFEES Equity",828031.36,2016-09-20,-1
"315","DHARMA STRATEGY",".TFCFEES Equity",829902.82,2016-09-21,-1
"316","DHARMA STRATEGY",".TFCFEES Equity",831789.64,2016-09-22,-1
"317","DHARMA STRATEGY",".TFCFEES Equity",834389.04,2016-09-23,-1
"318","DHARMA STRATEGY",".TFCFEES Equity",839876.22,2016-09-26,-1
"319","DHARMA STRATEGY",".TFCFEES Equity",841739.65,2016-09-27,-1
"320","DHARMA STRATEGY",".TFCFEES Equity",843624.92,2016-09-28,-1
"321","DHARMA STRATEGY",".TFCFEES Equity",845501.72,2016-09-29,-1
"322","DHARMA STRATEGY",".TFCFEES Equity",847384.82,2016-09-30,-1
"323","DHARMA STRATEGY",".TFCFEES Equity",856647.45,2016-10-03,-1
