"","Date","NAV"
"235",2016-05-27,37746199.06
"236",2016-05-30,37761396.09
"237",2016-05-31,37873060.13
"238",2016-06-01,37807189.19
"239",2016-06-02,39186111.49
"240",2016-06-03,38639692.07
"241",2016-06-06,38815398.16
"242",2016-06-07,39046975.5
"243",2016-06-08,38940907.48
"244",2016-06-09,37028181.91
"245",2016-06-10,36533988.72
"246",2016-06-13,36033005.31
"247",2016-06-14,35867876.86
"248",2016-06-15,35942487.41
"249",2016-06-16,36037158.4
"250",2016-06-17,36048847.73
"251",2016-06-20,36638422.38
"252",2016-06-21,36912138.72
"253",2016-06-22,36949774.37
"254",2016-06-24,35631431.47
"255",2016-06-27,34575708.26
"256",2016-06-28,35156099.2
"257",2016-06-29,35813675.57
"258",2016-06-30,36241884.82
"259",2016-07-01,36364637.19
"260",2016-07-04,36252297.3
"261",2016-07-05,35662979.36
"262",2016-07-06,35555603.52
"263",2016-07-07,35770806.04
"264",2016-07-08,36633504.94
"265",2016-07-11,36964225.28
"266",2016-07-12,37545274.22
"267",2016-07-13,37490167.58
"268",2016-07-15,37740017.88
